,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Stephen Curry, PG",GS,69,33.8,8.58,-0.97,7.60,15.69
1,2,"LeBron James, SF",LAL,55,35.2,6.33,0.45,6.78,11.71
2,3,"James Harden, SG",HOU,78,36.8,5.75,0.93,6.68,16.10
3,4,"Giannis Antetokounmpo, PF",MIL,72,32.8,4.67,1.44,6.12,12.87
4,5,"Kyle Lowry, PG",TOR,65,34.0,5.79,0.09,5.88,11.89
5,6,"Paul George, F",OKC,77,36.9,4.37,1.43,5.80,15.02
6,7,"Kyrie Irving, PG",BOS,67,33.0,5.21,-0.25,4.96,10.19
7,8,"Jrue Holiday, PG",NO,67,35.9,3.81,0.91,4.72,10.74
8,9,"Aaron Holiday, G",IND,50,12.9,1.62,2.37,3.99,2.33
9,10,"Pascal Siakam, PF",TOR,80,31.9,1.29,2.46,3.75,9.44
10,11,"Eric Bledsoe, SG",MIL,78,29.1,3.38,0.32,3.70,8.36
11,12,"Russell Westbrook, PG",OKC,73,36.0,5.68,-2.00,3.68,9.86
12,13,"Lou Williams, SG",LAC,75,26.6,3.58,0.05,3.63,6.54
13,14,"Nikola Jokic, C",DEN,80,31.3,4.03,-0.44,3.58,8.74
14,15,"Damian Lillard, PG",POR,80,35.5,3.52,-0.02,3.50,9.76
15,16,"Bradley Beal, SG",WSH,82,36.9,4.32,-0.83,3.49,10.78
16,17,"Mike Conley, PG",MEM,70,33.5,1.84,1.54,3.38,7.64
17,18,"De'Aaron Fox, PG",SAC,81,31.4,4.24,-0.91,3.34,8.92
18,19,"Kevin Love, PF",CLE,22,27.2,2.82,0.27,3.08,1.87
19,20,"Anthony Davis, PF",NO,56,33.0,3.11,-0.15,2.96,5.87
20,21,"Rudy Gobert, C",UTAH,81,31.8,0.06,2.74,2.80,7.70
21,22,"Kemba Walker, PG",CHA,82,34.9,2.43,0.37,2.79,8.33
22,23,"Kevin Durant, PF",GS,78,34.6,4.14,-1.64,2.50,7.45
23,24,"Chris Paul, PG",HOU,58,32.0,1.33,1.16,2.49,4.97
24,25,"Brad Wanamaker, PG",BOS,36,9.5,0.97,1.51,2.48,0.83
25,26,"JJ Redick, SG",PHI,76,31.3,2.44,0.00,2.44,6.48
26,27,"Victor Oladipo, SG",IND,36,31.9,2.18,0.26,2.44,3.06
27,28,"Marc Gasol, C",MEM/TOR,79,30.8,-0.21,2.63,2.42,6.24
28,29,"D'Angelo Russell, PG",BKN,81,30.2,4.62,-2.20,2.42,6.90
