,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Stephen Curry, PG",GS,63,34.2,7.08,0.10,7.18,19.05
1,2,"LeBron James, SF",LAL,45,33.4,4.63,2.10,6.73,11.91
2,3,"Rudy Gobert, C",UTAH,71,30.8,-1.45,8.00,6.55,16.52
3,4,"Paul George, F",LAC,54,33.7,1.55,3.89,5.45,11.98
4,5,"Giannis Antetokounmpo, PF",MIL,61,33.0,3.89,1.20,5.09,14.03
5,6,"Nikola Jokic, C",DEN,72,34.6,3.12,1.96,5.08,15.85
6,7,"Joel Embiid, C",PHI,51,31.1,2.04,2.98,5.02,10.01
7,8,"James Harden, SG",HOU/BKN,44,36.6,3.99,0.98,4.97,9.94
8,9,"Damian Lillard, PG",POR,67,35.8,3.88,1.09,4.97,14.55
9,10,"Lonzo Ball, PG",NO,55,31.8,3.19,1.27,4.46,10.06
10,11,"Mike Conley, PG",UTAH,51,29.4,1.25,3.12,4.37,8.28
11,12,"Fred VanVleet, PG",TOR,52,36.5,1.27,2.78,4.05,10.67
12,13,"Kyle Lowry, PG",TOR,46,34.8,2.90,1.12,4.02,8.98
13,14,"Kevin Durant, PF",BKN,35,33.1,4.07,-0.11,3.95,6.06
14,15,"Devonte' Graham, PG",CHA,55,30.2,1.92,1.97,3.88,9.24
15,16,"CJ McCollum, SG",POR,47,34.0,2.09,1.78,3.87,8.42
16,17,"Ben Simmons, PG",PHI,58,32.4,1.28,2.39,3.67,9.80
17,18,"Chris Paul, PG",PHX,70,31.4,0.48,3.06,3.54,10.78
18,19,"Jamal Murray, PG",DEN,48,35.5,0.41,3.07,3.48,8.04
19,20,"Kyrie Irving, PG",BKN,54,34.9,2.96,0.49,3.44,9.16
20,21,"Jimmy Butler, SF",MIA,52,33.6,1.50,1.90,3.40,8.70
21,22,"Julius Randle, PF",NY,71,37.6,-0.76,4.16,3.40,12.36
22,23,"Joe Harris, SF",BKN,69,31.0,-0.60,4.00,3.40,10.14
23,24,"Clint Capela, C",ATL,63,30.1,-1.63,4.98,3.35,9.12
24,25,"Zion Williamson, PF",NO,61,33.2,1.07,2.13,3.20,9.45
25,26,"Christian Wood, F",HOU,41,32.3,0.54,2.60,3.14,6.19
