,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Alonzo Mourning, C",MIA,46,38.1,1.01,5.87,6.87,11.11
1,2,"Shaquille O'Neal, C",LAL,49,34.8,6.52,-0.01,6.52,11.41
2,3,"David Robinson, C",SA,49,31.7,2.04,3.23,5.27,8.75
3,4,"Gary Payton, PG",SEA,50,40.2,5.16,-0.47,4.69,10.57
4,5,"Tim Duncan, C",SA,50,39.3,1.49,2.89,4.38,9.94
5,6,"John Stockton, G",UTAH,50,28.2,2.85,1.44,4.29,6.99
6,7,"Tim Hardaway, G",MIA,48,36.9,3.37,0.80,4.17,8.28
7,8,"Rasheed Wallace, PF",POR,49,28.9,-0.02,3.99,3.97,6.82
8,9,"Jason Kidd, PG",PHX,50,41.2,3.45,0.42,3.87,10.01
9,10,"Allen Iverson, SG",PHI,48,41.5,3.83,0.00,3.83,9.65
10,11,"Darrel Armstrong, PG",ORL,50,30.0,3.66,0.08,3.74,7.03
11,12,"Shawn Bradley, C",DAL,49,26.4,-0.68,4.30,3.63,5.72
12,13,"Mookie Blaylock, G",ATL,48,36.7,0.96,2.32,3.28,7.34
13,14,"Scot Pollard, C",ATL/SAC,16,16.2,1.06,2.21,3.28,1.17
14,15,"Dikembe Mutombo, C",ATL,50,36.6,-1.31,4.47,3.16,7.45
15,16,"Kevin Garnett, PF",MIN,47,37.9,1.98,1.17,3.15,7.70
16,17,"Greg Anthony, G",POR,50,16.1,1.52,1.50,3.02,3.30
17,18,"Karl Malone, PF",UTAH,49,37.4,2.50,0.51,3.01,7.53
18,19,"Vince Carter, G",TOR,50,35.2,1.49,1.47,2.96,7.16
19,20,"Toni Kukoc, SF",CHI,44,37.6,2.00,0.96,2.96,6.69
20,21,"Eddie Jones, SG",LAL/CHA,50,37.6,1.63,1.29,2.91,7.83
21,22,"Grant Long, F",ATL,50,27.6,-1.99,4.88,2.89,5.31
22,23,"Jon Barry, SG",SAC,43,17.1,2.38,0.39,2.77,3.23
23,24,"Chris Whitney, PG",WSH,39,11.3,3.74,-0.99,2.75,1.78
24,25,"Charles Barkley, F",HOU,42,36.3,2.91,-0.17,2.74,5.92
25,26,"Chris Morris, F",PHX,44,12.2,1.96,0.74,2.70,2.08
