,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"LeBron James, SF",MIA,76,37.9,6.32,1.26,7.58,19.41
1,2,"Chris Paul, PG",LAC,70,33.4,5.10,1.40,6.50,14.06
2,3,"Vince Carter, G",DAL,81,25.8,3.17,1.90,5.07,11.01
3,4,"Kevin Durant, PF",OKC,81,38.5,4.28,0.65,4.93,15.90
4,5,"Mike Conley, PG",MEM,80,34.5,1.39,3.53,4.92,13.27
5,6,"Marc Gasol, C",MEM,80,35.0,-0.84,5.38,4.54,12.61
6,7,"Kevin Garnett, PF",BOS,68,29.7,-1.67,5.84,4.17,8.90
7,8,"George Hill, PG",IND,76,34.5,1.51,2.38,3.89,11.00
8,9,"Carlos Delfino, SG",HOU,67,25.2,2.49,1.40,3.89,7.53
9,10,"Tim Duncan, C",SA,69,30.1,0.44,3.36,3.80,8.93
10,11,"Devin Harris, G",ATL,58,24.5,2.60,1.19,3.78,6.02
11,12,"Brook Lopez, C",BKN,74,30.4,0.95,2.68,3.64,8.98
12,13,"Rasheed Wallace, PF",NY,21,14.1,1.45,2.00,3.45,1.16
13,14,"Russell Westbrook, PG",OKC,82,34.9,4.52,-1.09,3.44,11.80
14,15,"Dwyane Wade, G",MIA,69,34.7,2.87,0.49,3.35,9.34
15,16,"Patrick Beverley, PG",HOU,41,17.4,1.11,2.21,3.31,2.82
16,17,"Dirk Nowitzki, F",DAL,53,31.3,1.22,2.02,3.24,6.45
17,18,"Larry Sanders, PF",MIL,71,27.3,-1.19,4.40,3.22,7.73
18,19,"Andre Drummond, C",DET,60,20.7,0.77,2.40,3.17,4.64
19,20,"Manu Ginobili, G",SA,60,23.2,3.34,-0.22,3.12,5.53
20,21,"Carmelo Anthony, PF",NY,67,37.0,4.56,-1.44,3.12,9.22
21,22,"Tony Parker, G",SA,66,32.9,3.13,-0.04,3.10,8.33
22,23,"Dwight Howard, C",LAL,76,35.8,0.57,2.33,2.90,10.17
23,24,"Kevin Love, PF",MIN,18,34.3,2.42,0.42,2.84,2.25
24,25,"Metta World Peace, SF",LAL,75,33.7,0.47,2.31,2.78,9.23
25,26,"Stephen Curry, PG",GS,78,38.2,4.74,-2.05,2.68,10.92
26,27,"Matt Barnes, SF",LAC,80,25.7,1.54,1.14,2.68,7.21
27,28,"Paul George, F",IND,79,37.6,0.62,2.03,2.65,10.11
28,29,"Andre Iguodala, F",DEN,80,34.7,1.81,0.77,2.58,9.88
29,30,"Jameer Nelson, G",ORL,56,35.3,1.89,0.68,2.57,6.70
30,31,"James Harden, SG",HOU,78,38.3,4.74,-2.17,2.57,10.71
