,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"LeBron James, SF",CLE,81,37.7,7.21,2.84,10.05,25.85
1,2,"Chris Paul, PG",NO,78,38.5,4.72,3.59,8.31,21.53
2,3,"Dwyane Wade, G",MIA,79,38.6,6.66,0.15,6.81,19.81
3,4,"Dwight Howard, C",ORL,79,35.7,2.54,3.05,5.59,16.09
4,5,"Kevin Garnett, PF",BOS,57,31.1,0.24,4.94,5.18,9.36
5,6,"Brandon Roy, SG",POR,78,37.2,3.47,1.51,4.98,14.58
6,7,"Ray Allen, SG",BOS,79,36.4,2.68,1.95,4.63,14.08
7,8,"Kobe Bryant, SF",LAL,82,36.1,5.29,-0.87,4.42,14.79
8,9,"Matt Bonner, C",SA,81,23.8,0.66,3.64,4.30,8.73
9,10,"Yao Ming, C",HOU,77,33.6,0.44,3.80,4.24,11.97
10,11,"Andre Iguodala, F",PHI,82,39.9,1.59,2.47,4.06,14.82
11,12,"Tim Duncan, C",SA,75,33.6,1.50,2.32,3.82,10.87
12,13,"Rashard Lewis, PF",ORL,79,36.2,2.43,1.37,3.80,12.91
13,14,"Jameer Nelson, G",ORL,42,31.2,3.45,0.24,3.69,5.82
14,15,"Joel Przybilla, C",POR,82,23.8,-2.37,5.92,3.55,7.95
15,16,"Nate Robinson, PG",NY,74,29.9,4.26,-0.79,3.47,9.85
16,17,"Gerald Wallace, SF",CHA,71,37.6,-0.09,3.55,3.46,10.85
17,18,"Lamar Odom, PF",LAL,78,29.7,1.25,2.21,3.46,10.03
18,19,"Metta World Peace, SF",HOU,69,35.5,0.32,3.00,3.32,9.89
19,20,"Tony Parker, G",SA,72,34.1,3.31,-0.08,3.23,9.69
20,21,"Eddie House, SG",BOS,81,18.3,1.79,1.26,3.04,5.70
21,22,"Al Jefferson, C",MIN,50,36.7,1.29,1.71,3.00,7.14
22,23,"Donyell Marshall, PF",PHI,25,7.6,3.13,-0.28,2.85,0.74
23,24,"Andrei Kirilenko, SF",UTAH,67,27.3,0.02,2.76,2.78,6.99
24,25,"JR Smith, G",DEN,81,27.7,3.23,-0.46,2.77,8.74
25,26,"Rajon Rondo, PG",BOS,80,33.0,1.38,1.39,2.77,9.77
26,27,"Chauncey Billups, PG",DET/DEN,79,35.3,2.83,-0.07,2.76,10.09
27,28,"Danny Granger, SF",IND,67,36.2,5.23,-2.52,2.71,9.70
28,29,"Joe Johnson, G",ATL,79,39.5,2.25,0.45,2.70,11.22
29,30,"Ronald Murray, SG",ATL,80,24.7,1.12,1.53,2.65,7.14
30,31,"Paul Millsap, PF",UTAH,76,30.1,0.71,1.91,2.62,8.49
31,32,"Gilbert Arenas, PG",WSH,2,31.5,2.97,-0.41,2.56,0.22
32,33,"Tim Thomas, PF",LAC/NY/CHI,64,19.5,0.33,2.15,2.48,4.39
33,34,"Rasheed Wallace, PF",DET,66,32.2,-0.61,3.03,2.42,7.16
34,35,"Rudy Fernandez, F",POR,78,25.6,0.98,1.37,2.35,6.74
35,36,"Mo Williams, PG",CLE,81,35.0,1.22,1.12,2.34,9.46
36,37,"Delonte West, SG",CLE,64,33.6,-0.30,2.63,2.34,7.28
37,38,"Paul Pierce, SF",BOS,81,37.5,1.34,0.99,2.33,10.23
38,39,"Al Harrington, PF",GS/NY,73,34.9,2.29,-0.04,2.25,9.13
39,40,"Josh Howard, SF",DAL,52,32.0,1.38,0.83,2.21,5.58
40,41,"Zydrunas Ilgauskas, C",CLE,65,27.2,-0.81,3.01,2.2,5.63
41,42,"Amir Johnson, F",DET,62,14.7,-2.25,4.43,2.19,2.87
42,43,"Hedo Turkoglu, SF",ORL,77,36.6,1.16,1.01,2.17,9.56
43,44,"Marcus Camby, C",LAC,62,31.0,-1.66,3.81,2.15,6.46
44,45,"Michael Redd, SG",MIL,33,36.5,2.93,-0.79,2.14,4.02
45,46,"Zach Randolph, F",NY/LAC,50,35.1,1.78,0.33,2.11,5.94
46,47,"Andrew Bogut, C",MIL,36,31.2,-1.3,3.41,2.11,3.7
47,48,"Jason Terry, G",DAL,74,33.7,3.11,-1.01,2.1,8.28
48,49,"Carmelo Anthony, PF",DEN,66,34.5,2.64,-0.54,2.1,7.76
49,50,"Deron Williams, PG",UTAH,68,36.8,4.16,-2.07,2.09,8.49
50,51,"Pau Gasol, PF",LAL,81,37.0,2.18,-0.1,2.08,10.04
