,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Manu Ginobili, G",SA,74,31.0,4.24,2.59,6.84,14.38
1,2,"Kevin Garnett, PF",BOS,71,32.8,1.40,4.92,6.32,13.85
2,3,"LeBron James, SF",CLE,75,40.4,6.17,-0.38,5.80,17.43
3,4,"Chris Paul, PG",NO,80,37.6,4.76,0.39,5.15,15.53
4,5,"Chris Bosh, PF",TOR,67,36.2,1.75,3.34,5.09,12.24
5,6,"Paul Pierce, SF",BOS,80,35.9,2.30,2.74,5.04,14.70
6,7,"Kobe Bryant, SF",LAL,82,38.9,5.20,-0.30,4.89,17.09
7,8,"Rasheed Wallace, PF",DET,77,30.5,-0.57,5.42,4.86,11.06
8,9,"Tim Duncan, C",SA,78,34.0,0.86,3.92,4.77,12.60
9,10,"Chauncey Billups, PG",DET,78,32.3,3.22,1.29,4.51,11.42
10,11,"Andre Iguodala, F",PHI,82,39.5,1.36,2.76,4.12,14.68
11,12,"Ronnie Price, PG",UTAH,61,9.6,0.77,3.33,4.10,2.68
12,13,"Dirk Nowitzki, F",DAL,77,36.0,2.90,1.17,4.07,12.56
13,14,"Tracy McGrady, SG",HOU,66,37.0,2.06,1.63,3.69,10.25
14,15,"Metta World Peace, SF",SAC,57,38.1,1.77,1.92,3.68,9.77
15,16,"Vince Carter, G",NJ,76,38.9,1.75,1.91,3.66,12.83
16,17,"Dwight Howard, C",ORL,82,37.7,2.51,1.05,3.57,13.53
17,18,"JR Smith, G",DEN,74,19.2,5.14,-1.81,3.33,6.27
18,19,"Pau Gasol, PF",MEM/LAL,66,35.6,1.49,1.81,3.30,9.76
19,20,"Joe Johnson, G",ATL,82,40.8,1.79,1.49,3.28,13.27
20,21,"Antawn Jamison, PF",WSH,79,38.7,2.09,1.16,3.25,12.18
21,22,"Amir Johnson, F",DET,62,12.3,-1.12,4.17,3.05,2.93
22,23,"Jason Terry, G",DAL,82,31.5,1.66,1.23,2.89,9.66
23,24,"Gerald Wallace, SF",CHA,62,38.3,0.89,1.95,2.84,8.93
24,25,"Josh Howard, SF",DAL,76,36.3,0.91,1.87,2.78,10.13
25,26,"Chris Kaman, C",LAC,56,37.2,-2.10,4.78,2.68,7.57
26,27,"Amar'e Stoudemire, C",PHX,79,33.9,4.29,-1.72,2.58,9.99
27,28,"Baron Davis, PG",GS,82,39.0,4.49,-1.98,2.51,12.24
28,29,"Josh Smith, PF",ATL,81,35.5,0.16,2.31,2.48,10.06
29,30,"Yao Ming, C",HOU,55,37.2,0.26,2.17,2.43,6.90
30,31,"Andrew Bynum, C",LAL,35,28.8,1.88,0.54,2.41,3.72
31,32,"Bobby Jackson, PG",NO/HOU,72,19.3,-0.17,2.56,2.39,4.53
32,33,"Shawn Marion, SG",PHX/MIA,63,36.7,0.92,1.46,2.38,8.34
33,34,"Tayshaun Prince, SF",DET,82,32.9,-1.14,3.51,2.37,8.57
34,35,"David West, F",NO,76,37.8,-0.40,2.72,2.32,9.47
35,36,"Allen Iverson, SG",DEN,82,41.8,3.96,-1.64,2.32,12.42
