,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Tim Duncan, C",SA,80,34.1,2.33,4.90,7.23,18.30
1,2,"LeBron James, SF",CLE,78,40.9,4.17,2.78,6.95,21.53
2,3,"Kevin Garnett, PF",MIN,76,39.4,1.04,5.10,6.14,18.22
3,4,"Manu Ginobili, G",SA,75,27.5,3.77,1.79,5.56,11.87
4,5,"Baron Davis, PG",GS,63,35.3,4.56,0.48,5.03,12.99
5,6,"Tracy McGrady, SG",HOU,71,35.8,4.72,0.13,4.85,13.51
6,7,"Kobe Bryant, SF",LAL,77,40.8,4.87,-0.03,4.84,17.25
7,8,"Shaquille O'Neal, C",MIA,40,28.4,2.28,1.89,4.16,5.18
8,9,"Dirk Nowitzki, F",DAL,78,36.2,3.49,0.53,4.02,13.14
9,10,"Gilbert Arenas, PG",WSH,74,39.8,6.29,-2.36,3.93,14.74
10,11,"Zydrunas Ilgauskas, C",CLE,78,27.3,-0.65,4.56,3.91,9.65
11,12,"Metta World Peace, SF",SAC,70,37.7,1.47,2.13,3.60,12.21
12,13,"Vince Carter, G",NJ,82,38.1,4.02,-0.47,3.55,14.23
13,14,"Antonio McDyess, PF",DET,82,21.1,-0.62,4.14,3.52,7.25
14,15,"Rashard Lewis, PF",SEA,60,39.1,3.01,0.48,3.49,10.50
15,16,"Dwight Howard, C",ORL,82,36.9,0.56,2.92,3.47,13.16
16,17,"Dwyane Wade, G",MIA,51,37.9,4.17,-0.75,3.42,8.57
17,18,"Renaldo Balkman, SF",NY,68,15.6,-0.64,4.02,3.38,4.69
18,19,"Chuck Hayes, PF",HOU,78,22.0,-1.38,4.64,3.25,7.23
19,20,"Steve Nash, PG",PHX,76,35.3,5.86,-2.70,3.16,11.88
20,21,"Tim Thomas, PF",LAC,76,27.0,1.23,1.93,3.16,8.65
21,22,"Shawn Marion, SG",PHX,80,37.6,2.28,0.70,2.98,12.91
22,23,"Donyell Marshall, PF",CLE,81,16.8,2.04,0.93,2.98,5.73
23,24,"Jason Terry, G",DAL,81,35.1,2.27,0.60,2.87,11.12
24,25,"Chauncey Billups, PG",DET,70,36.2,2.61,0.17,2.79,9.53
25,26,"Jermaine O'Neal, C",IND,69,35.6,-1.24,4.02,2.78,9.75
26,27,"Elton Brand, PF",LAC,80,38.5,1.02,1.67,2.69,11.97
27,28,"Michael Redd, SG",MIL,53,38.4,4.10,-1.49,2.61,7.99
28,29,"Ray Allen, SG",SEA,55,40.3,4.32,-1.80,2.52,8.55
29,30,"JR Smith, G",DEN,63,23.3,4.11,-1.60,2.51,5.88
30,31,"Jason Kidd, PG",NJ,80,36.7,2.68,-0.17,2.51,11.38
31,32,"Emeka Okafor, C",CHA,67,34.8,-0.39,2.88,2.49,8.84
32,33,"Yao Ming, C",HOU,48,33.8,1.72,0.65,2.37,6.05
33,34,"Samuel Dalembert, C",PHI,82,30.9,-0.97,3.33,2.37,9.33
