,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Tim Duncan, C",SA,69,36.6,3.25,4.54,7.79,18.46
1,2,"Kevin Garnett, PF",MIN,82,39.4,3.45,3.79,7.24,22.55
2,3,"Baron Davis, PG",NO,67,40.1,5.00,1.51,6.51,17.58
3,4,"Andrei Kirilenko, SF",UTAH,78,37.1,1.30,5.17,6.47,18.37
4,5,"Shaquille O'Neal, C",LAL,67,36.8,4.36,1.20,5.56,15.22
5,6,"Richie Frahm, SG",SEA,54,8.7,4.11,0.95,5.06,2.57
6,7,"Rasheed Wallace, PF",POR/ATL/DET,68,35.1,1.26,3.57,4.83,12.53
7,8,"Raef LaFrentz, C",BOS,17,19.3,3.41,1.12,4.53,1.77
8,9,"Bo Outlaw, PF",MEM,82,19.6,-2.02,6.17,4.15,7.85
9,10,"Bobby Jackson, PG",SAC,50,23.7,3.80,0.29,4.09,5.96
10,11,"Jason Kidd, PG",NJ,67,36.6,3.06,0.98,4.04,12.16
11,12,"Tracy McGrady, SG",ORL,67,39.9,6.24,-2.28,3.97,13.48
12,13,"Sam Cassell, PG",MIN,81,35.0,3.90,-0.05,3.85,13.55
13,14,"Ben Wallace, PF",DET,81,37.7,-2.45,5.98,3.54,13.85
14,15,"Ray Allen, SG",SEA,56,38.4,4.18,-0.69,3.49,9.79
15,16,"Metta World Peace, SF",IND,73,37.2,1.12,2.34,3.46,12.03
16,17,"Reggie Miller, SG",IND,80,28.2,1.00,2.44,3.43,10.10
17,18,"Hedo Turkoglu, SF",SA,80,25.9,-0.12,3.52,3.40,9.23
18,19,"Brendan Haywood, C",WSH,77,19.3,0.10,3.18,3.28,6.48
19,20,"Mickael Pietrus, SF",GS,53,14.1,0.95,2.29,3.24,3.19
20,21,"Brian Cardinal, PF",GS,76,21.5,1.67,1.55,3.22,7.01
21,22,"Scott Padgett, PF",HOU,58,9.4,1.02,2.12,3.14,2.26
22,23,"Vince Carter, G",TOR,73,38.2,1.94,1.16,3.10,11.71
23,24,"Brad Miller, C",SAC,72,36.4,1.53,1.49,3.02,11.57
24,25,"Morris Peterson, SG",TOR,82,26.2,-0.56,3.56,3.00,8.75
